product_id,warehouse_id,quantity,expiration_date,status,,
10006,1014,304,,Received,"{10006,1014,304,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10006,1002,43,,Received,"{10006,1002,43,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10006,1005,391,,Expired,"{10006,1005,391,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10006,1007,75,,Transferred,"{10006,1007,75,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10006,1008,258,,Sold,"{10006,1008,258,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10007,1008,190,,Expired,"{10007,1008,190,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10007,1010,213,,Transferred,"{10007,1010,213,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10007,1016,130,,Expired,"{10007,1016,130,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10007,1001,332,,Received,"{10007,1001,332,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10008,1011,263,,Expired,"{10008,1011,263,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10008,1002,115,,Adjusted,"{10008,1002,115,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10008,1006,138,,Adjusted,"{10008,1006,138,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10008,1001,455,,Adjusted,"{10008,1001,455,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10008,1013,417,,Sold,"{10008,1013,417,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10009,1019,139,,Transferred,"{10009,1019,139,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10009,1001,246,,Transferred,"{10009,1001,246,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10009,1017,88,,Transferred,"{10009,1017,88,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10009,1016,450,,Transferred,"{10009,1016,450,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10010,1015,286,1/21/2025,Expired,"{10010,1015,286,LocalDate.of(2025,1,21),""Expired""},","LocalDate.of(2025,1,21)"
10010,1016,301,4/9/2025,Adjusted,"{10010,1016,301,LocalDate.of(2025,4,9),""Adjusted""},","LocalDate.of(2025,4,9)"
10010,1010,423,2/6/2025,Adjusted,"{10010,1010,423,LocalDate.of(2025,2,6),""Adjusted""},","LocalDate.of(2025,2,6)"
10010,1017,94,8/7/2025,Sold,"{10010,1017,94,LocalDate.of(2025,8,7),""Sold""},","LocalDate.of(2025,8,7)"
10011,1013,30,,Received,"{10011,1013,30,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10011,1017,181,,Adjusted,"{10011,1017,181,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10011,1007,398,,Transferred,"{10011,1007,398,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10011,1010,38,,Sold,"{10011,1010,38,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10012,1003,326,,Adjusted,"{10012,1003,326,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10012,1016,75,,Transferred,"{10012,1016,75,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10012,1013,12,,Sold,"{10012,1013,12,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10012,1014,163,,Expired,"{10012,1014,163,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10013,1014,28,4/29/2025,Received,"{10013,1014,28,LocalDate.of(2025,4,29),""Received""},","LocalDate.of(2025,4,29)"
10013,1011,272,11/11/2025,Received,"{10013,1011,272,LocalDate.of(2025,11,11),""Received""},","LocalDate.of(2025,11,11)"
10013,1016,66,1/15/2026,Expired,"{10013,1016,66,LocalDate.of(2026,1,15),""Expired""},","LocalDate.of(2026,1,15)"
10013,1012,358,1/7/2026,Transferred,"{10013,1012,358,LocalDate.of(2026,1,7),""Transferred""},","LocalDate.of(2026,1,7)"
10013,1015,78,10/6/2025,Sold,"{10013,1015,78,LocalDate.of(2025,10,6),""Sold""},","LocalDate.of(2025,10,6)"
10014,1007,88,10/16/2025,Sold,"{10014,1007,88,LocalDate.of(2025,10,16),""Sold""},","LocalDate.of(2025,10,16)"
10014,1020,409,1/17/2026,Adjusted,"{10014,1020,409,LocalDate.of(2026,1,17),""Adjusted""},","LocalDate.of(2026,1,17)"
10014,1019,460,3/1/2025,Transferred,"{10014,1019,460,LocalDate.of(2025,3,1),""Transferred""},","LocalDate.of(2025,3,1)"
10014,1015,468,7/18/2025,Adjusted,"{10014,1015,468,LocalDate.of(2025,7,18),""Adjusted""},","LocalDate.of(2025,7,18)"
10014,1016,42,9/30/2025,Expired,"{10014,1016,42,LocalDate.of(2025,9,30),""Expired""},","LocalDate.of(2025,9,30)"
10015,1004,392,,Transferred,"{10015,1004,392,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10015,1009,88,,Adjusted,"{10015,1009,88,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10015,1003,381,,Sold,"{10015,1003,381,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10015,1014,408,,Received,"{10015,1014,408,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10016,1016,26,,Expired,"{10016,1016,26,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10016,1008,290,,Received,"{10016,1008,290,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10016,1002,27,,Transferred,"{10016,1002,27,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10017,1004,334,8/27/2025,Sold,"{10017,1004,334,LocalDate.of(2025,8,27),""Sold""},","LocalDate.of(2025,8,27)"
10017,1015,400,6/15/2025,Transferred,"{10017,1015,400,LocalDate.of(2025,6,15),""Transferred""},","LocalDate.of(2025,6,15)"
10017,1006,32,8/3/2025,Expired,"{10017,1006,32,LocalDate.of(2025,8,3),""Expired""},","LocalDate.of(2025,8,3)"
10018,1018,213,,Expired,"{10018,1018,213,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10018,1014,401,,Transferred,"{10018,1014,401,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10018,1004,13,,Transferred,"{10018,1004,13,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10019,1005,135,7/27/2025,Transferred,"{10019,1005,135,LocalDate.of(2025,7,27),""Transferred""},","LocalDate.of(2025,7,27)"
10019,1013,175,10/20/2025,Sold,"{10019,1013,175,LocalDate.of(2025,10,20),""Sold""},","LocalDate.of(2025,10,20)"
10019,1003,70,12/11/2025,Adjusted,"{10019,1003,70,LocalDate.of(2025,12,11),""Adjusted""},","LocalDate.of(2025,12,11)"
10019,1016,465,6/15/2025,Sold,"{10019,1016,465,LocalDate.of(2025,6,15),""Sold""},","LocalDate.of(2025,6,15)"
10020,1001,363,,Transferred,"{10020,1001,363,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10020,1017,432,,Received,"{10020,1017,432,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10020,1016,269,,Sold,"{10020,1016,269,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10020,1008,235,,Sold,"{10020,1008,235,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10021,1002,470,,Received,"{10021,1002,470,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10021,1019,119,,Transferred,"{10021,1019,119,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10021,1015,459,,Expired,"{10021,1015,459,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10022,1019,477,,Received,"{10022,1019,477,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10022,1017,243,,Adjusted,"{10022,1017,243,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10022,1008,332,,Transferred,"{10022,1008,332,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10023,1007,138,,Transferred,"{10023,1007,138,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10023,1005,347,,Sold,"{10023,1005,347,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10023,1009,165,,Received,"{10023,1009,165,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10024,1003,270,5/1/2025,Received,"{10024,1003,270,LocalDate.of(2025,5,1),""Received""},","LocalDate.of(2025,5,1)"
10024,1012,325,11/19/2025,Received,"{10024,1012,325,LocalDate.of(2025,11,19),""Received""},","LocalDate.of(2025,11,19)"
10024,1018,368,10/22/2025,Transferred,"{10024,1018,368,LocalDate.of(2025,10,22),""Transferred""},","LocalDate.of(2025,10,22)"
10024,1001,195,6/20/2025,Adjusted,"{10024,1001,195,LocalDate.of(2025,6,20),""Adjusted""},","LocalDate.of(2025,6,20)"
10024,1011,49,1/19/2025,Sold,"{10024,1011,49,LocalDate.of(2025,1,19),""Sold""},","LocalDate.of(2025,1,19)"
10025,1004,301,10/5/2025,Transferred,"{10025,1004,301,LocalDate.of(2025,10,5),""Transferred""},","LocalDate.of(2025,10,5)"
10025,1019,328,12/10/2025,Sold,"{10025,1019,328,LocalDate.of(2025,12,10),""Sold""},","LocalDate.of(2025,12,10)"
10025,1015,437,6/11/2025,Transferred,"{10025,1015,437,LocalDate.of(2025,6,11),""Transferred""},","LocalDate.of(2025,6,11)"
10025,1009,63,12/27/2025,Adjusted,"{10025,1009,63,LocalDate.of(2025,12,27),""Adjusted""},","LocalDate.of(2025,12,27)"
10025,1012,63,8/2/2025,Adjusted,"{10025,1012,63,LocalDate.of(2025,8,2),""Adjusted""},","LocalDate.of(2025,8,2)"
10026,1001,347,,Received,"{10026,1001,347,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10026,1015,304,,Sold,"{10026,1015,304,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10026,1004,61,,Adjusted,"{10026,1004,61,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10026,1012,385,,Sold,"{10026,1012,385,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10027,1014,264,,Transferred,"{10027,1014,264,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10027,1019,383,,Sold,"{10027,1019,383,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10027,1017,193,,Received,"{10027,1017,193,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10027,1012,184,,Sold,"{10027,1012,184,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10027,1020,6,,Received,"{10027,1020,6,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10028,1005,74,1/5/2026,Expired,"{10028,1005,74,LocalDate.of(2026,1,5),""Expired""},","LocalDate.of(2026,1,5)"
10028,1006,272,5/27/2025,Adjusted,"{10028,1006,272,LocalDate.of(2025,5,27),""Adjusted""},","LocalDate.of(2025,5,27)"
10028,1018,248,9/27/2025,Expired,"{10028,1018,248,LocalDate.of(2025,9,27),""Expired""},","LocalDate.of(2025,9,27)"
10028,1019,491,1/1/2026,Sold,"{10028,1019,491,LocalDate.of(2026,1,1),""Sold""},","LocalDate.of(2026,1,1)"
10029,1014,290,,Sold,"{10029,1014,290,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10029,1009,328,,Received,"{10029,1009,328,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10029,1015,454,,Expired,"{10029,1015,454,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10029,1016,393,,Sold,"{10029,1016,393,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10030,1018,108,,Expired,"{10030,1018,108,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10030,1011,334,,Sold,"{10030,1011,334,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10030,1004,135,,Transferred,"{10030,1004,135,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10030,1015,263,,Sold,"{10030,1015,263,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10031,1001,159,,Sold,"{10031,1001,159,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10031,1018,346,,Adjusted,"{10031,1018,346,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10031,1005,38,,Expired,"{10031,1005,38,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10032,1005,422,3/4/2025,Expired,"{10032,1005,422,LocalDate.of(2025,3,4),""Expired""},","LocalDate.of(2025,3,4)"
10032,1019,316,10/24/2025,Received,"{10032,1019,316,LocalDate.of(2025,10,24),""Received""},","LocalDate.of(2025,10,24)"
10032,1009,159,12/25/2024,Adjusted,"{10032,1009,159,LocalDate.of(2024,12,25),""Adjusted""},","LocalDate.of(2024,12,25)"
10032,1015,247,9/11/2025,Expired,"{10032,1015,247,LocalDate.of(2025,9,11),""Expired""},","LocalDate.of(2025,9,11)"
10033,1005,45,,Expired,"{10033,1005,45,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10033,1006,118,,Expired,"{10033,1006,118,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10033,1004,105,,Expired,"{10033,1004,105,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10033,1020,295,,Adjusted,"{10033,1020,295,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10033,1018,391,,Adjusted,"{10033,1018,391,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10034,1017,368,4/25/2025,Transferred,"{10034,1017,368,LocalDate.of(2025,4,25),""Transferred""},","LocalDate.of(2025,4,25)"
10034,1002,286,6/14/2025,Sold,"{10034,1002,286,LocalDate.of(2025,6,14),""Sold""},","LocalDate.of(2025,6,14)"
10034,1009,454,3/12/2025,Transferred,"{10034,1009,454,LocalDate.of(2025,3,12),""Transferred""},","LocalDate.of(2025,3,12)"
10034,1018,126,1/1/2025,Adjusted,"{10034,1018,126,LocalDate.of(2025,1,1),""Adjusted""},","LocalDate.of(2025,1,1)"
10034,1007,381,5/13/2025,Adjusted,"{10034,1007,381,LocalDate.of(2025,5,13),""Adjusted""},","LocalDate.of(2025,5,13)"
10035,1010,44,,Transferred,"{10035,1010,44,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10035,1015,417,,Received,"{10035,1015,417,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10035,1017,38,,Received,"{10035,1017,38,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10035,1001,383,,Expired,"{10035,1001,383,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10035,1020,369,,Sold,"{10035,1020,369,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10036,1018,310,11/18/2025,Expired,"{10036,1018,310,LocalDate.of(2025,11,18),""Expired""},","LocalDate.of(2025,11,18)"
10036,1005,287,5/31/2025,Transferred,"{10036,1005,287,LocalDate.of(2025,5,31),""Transferred""},","LocalDate.of(2025,5,31)"
10036,1006,236,7/5/2025,Expired,"{10036,1006,236,LocalDate.of(2025,7,5),""Expired""},","LocalDate.of(2025,7,5)"
10036,1009,268,6/3/2025,Adjusted,"{10036,1009,268,LocalDate.of(2025,6,3),""Adjusted""},","LocalDate.of(2025,6,3)"
10036,1002,307,1/28/2025,Adjusted,"{10036,1002,307,LocalDate.of(2025,1,28),""Adjusted""},","LocalDate.of(2025,1,28)"
10037,1011,243,,Transferred,"{10037,1011,243,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10037,1001,271,,Sold,"{10037,1001,271,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10037,1013,308,,Sold,"{10037,1013,308,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10037,1017,377,,Adjusted,"{10037,1017,377,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10038,1018,242,10/15/2025,Sold,"{10038,1018,242,LocalDate.of(2025,10,15),""Sold""},","LocalDate.of(2025,10,15)"
10038,1019,114,3/21/2025,Transferred,"{10038,1019,114,LocalDate.of(2025,3,21),""Transferred""},","LocalDate.of(2025,3,21)"
10038,1006,123,12/12/2025,Adjusted,"{10038,1006,123,LocalDate.of(2025,12,12),""Adjusted""},","LocalDate.of(2025,12,12)"
10038,1009,202,2/10/2025,Expired,"{10038,1009,202,LocalDate.of(2025,2,10),""Expired""},","LocalDate.of(2025,2,10)"
10038,1005,158,10/9/2025,Received,"{10038,1005,158,LocalDate.of(2025,10,9),""Received""},","LocalDate.of(2025,10,9)"
10039,1007,53,,Expired,"{10039,1007,53,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10039,1003,500,,Adjusted,"{10039,1003,500,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10039,1012,222,,Sold,"{10039,1012,222,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10039,1013,449,,Adjusted,"{10039,1013,449,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10040,1011,6,,Adjusted,"{10040,1011,6,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10040,1009,381,,Transferred,"{10040,1009,381,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10040,1015,173,,Transferred,"{10040,1015,173,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10040,1016,61,,Transferred,"{10040,1016,61,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10041,1010,5,,Adjusted,"{10041,1010,5,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10041,1006,314,,Expired,"{10041,1006,314,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10041,1002,136,,Expired,"{10041,1002,136,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10041,1009,104,,Expired,"{10041,1009,104,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10041,1016,4,,Sold,"{10041,1016,4,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10042,1013,162,,Adjusted,"{10042,1013,162,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10042,1010,188,,Sold,"{10042,1010,188,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10042,1008,39,,Expired,"{10042,1008,39,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10043,1014,424,3/16/2025,Received,"{10043,1014,424,LocalDate.of(2025,3,16),""Received""},","LocalDate.of(2025,3,16)"
10043,1007,312,10/8/2025,Transferred,"{10043,1007,312,LocalDate.of(2025,10,8),""Transferred""},","LocalDate.of(2025,10,8)"
10043,1017,162,9/17/2025,Transferred,"{10043,1017,162,LocalDate.of(2025,9,17),""Transferred""},","LocalDate.of(2025,9,17)"
10043,1016,464,12/27/2025,Adjusted,"{10043,1016,464,LocalDate.of(2025,12,27),""Adjusted""},","LocalDate.of(2025,12,27)"
10044,1003,14,5/12/2025,Received,"{10044,1003,14,LocalDate.of(2025,5,12),""Received""},","LocalDate.of(2025,5,12)"
10044,1006,272,2/18/2025,Transferred,"{10044,1006,272,LocalDate.of(2025,2,18),""Transferred""},","LocalDate.of(2025,2,18)"
10044,1015,480,1/12/2026,Sold,"{10044,1015,480,LocalDate.of(2026,1,12),""Sold""},","LocalDate.of(2026,1,12)"
10044,1019,167,8/24/2025,Adjusted,"{10044,1019,167,LocalDate.of(2025,8,24),""Adjusted""},","LocalDate.of(2025,8,24)"
10044,1005,467,1/23/2026,Sold,"{10044,1005,467,LocalDate.of(2026,1,23),""Sold""},","LocalDate.of(2026,1,23)"
10045,1009,367,2/12/2025,Transferred,"{10045,1009,367,LocalDate.of(2025,2,12),""Transferred""},","LocalDate.of(2025,2,12)"
10045,1008,48,4/24/2025,Expired,"{10045,1008,48,LocalDate.of(2025,4,24),""Expired""},","LocalDate.of(2025,4,24)"
10045,1011,470,10/30/2025,Sold,"{10045,1011,470,LocalDate.of(2025,10,30),""Sold""},","LocalDate.of(2025,10,30)"
10046,1004,371,,Received,"{10046,1004,371,LocalDate.of(2025,1,24),""Received""},","LocalDate.of(2025,1,24)"
10046,1010,134,,Adjusted,"{10046,1010,134,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10046,1007,434,,Expired,"{10046,1007,434,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10047,1020,87,,Expired,"{10047,1020,87,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10047,1011,278,,Expired,"{10047,1011,278,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10047,1001,262,,Expired,"{10047,1001,262,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10047,1014,166,,Adjusted,"{10047,1014,166,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10048,1010,246,,Adjusted,"{10048,1010,246,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10048,1001,15,,Sold,"{10048,1001,15,LocalDate.of(2025,1,24),""Sold""},","LocalDate.of(2025,1,24)"
10048,1012,93,,Expired,"{10048,1012,93,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10048,1003,269,,Expired,"{10048,1003,269,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10048,1002,310,,Adjusted,"{10048,1002,310,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10049,1020,475,8/19/2025,Expired,"{10049,1020,475,LocalDate.of(2025,8,19),""Expired""},","LocalDate.of(2025,8,19)"
10049,1011,96,3/26/2025,Transferred,"{10049,1011,96,LocalDate.of(2025,3,26),""Transferred""},","LocalDate.of(2025,3,26)"
10049,1016,192,3/29/2025,Sold,"{10049,1016,192,LocalDate.of(2025,3,29),""Sold""},","LocalDate.of(2025,3,29)"
10049,1019,423,11/10/2025,Received,"{10049,1019,423,LocalDate.of(2025,11,10),""Received""},","LocalDate.of(2025,11,10)"
10050,1007,200,6/10/2025,Adjusted,"{10050,1007,200,LocalDate.of(2025,6,10),""Adjusted""},","LocalDate.of(2025,6,10)"
10050,1003,105,5/4/2025,Adjusted,"{10050,1003,105,LocalDate.of(2025,5,4),""Adjusted""},","LocalDate.of(2025,5,4)"
10050,1002,427,6/30/2025,Sold,"{10050,1002,427,LocalDate.of(2025,6,30),""Sold""},","LocalDate.of(2025,6,30)"
10050,1018,442,12/31/2025,Received,"{10050,1018,442,LocalDate.of(2025,12,31),""Received""},","LocalDate.of(2025,12,31)"
10050,1020,67,8/28/2025,Received,"{10050,1020,67,LocalDate.of(2025,8,28),""Received""},","LocalDate.of(2025,8,28)"
10051,1011,235,,Transferred,"{10051,1011,235,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10051,1016,245,,Adjusted,"{10051,1016,245,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10051,1013,287,,Adjusted,"{10051,1013,287,LocalDate.of(2025,1,24),""Adjusted""},","LocalDate.of(2025,1,24)"
10051,1014,408,,Transferred,"{10051,1014,408,LocalDate.of(2025,1,24),""Transferred""},","LocalDate.of(2025,1,24)"
10051,1003,311,,Expired,"{10051,1003,311,LocalDate.of(2025,1,24),""Expired""},","LocalDate.of(2025,1,24)"
10052,1019,84,5/23/2025,Sold,"{10052,1019,84,LocalDate.of(2025,5,23),""Sold""},","LocalDate.of(2025,5,23)"
